id,title,author,source_path,tracks,duration_minutes,has_cover
861d9e27-ff02-48a0-9203-0f822ff45606,"The Singularity Is Near Unabridged Audiobook","","/audiobooks/The Singularity Is Near Unabridged Audiobook",3,1481,true
1247ea16-667c-4768-9602-22bd307241f2,"The Theory Of Everything","Stephen Hawking","/audiobooks/The Theory Of Everything",44,235,true
86a58e60-19fe-4352-a61d-52c43c4bb7f7,"Ulysses","James Joyce","/audiobooks/James Joyce/Ulysses Disc 06",158,74,true
c48d35ae-1ea9-414d-8db0-ccb0942dbb39,"Uncertainty","David Lindley","/audiobooks/David Lindley - Uncertainty; Einstein, Heisenberg, Bohr, and the Struggle for the Soul of Science",1,422,true
d8b1239d-7aae-436a-859a-b520f1715f0f,"Unweaving the Rainbow: Science, Delusion and the Appetite for Wonder","Richard Dawkins","/audiobooks/Unweaving the Rainbow (2021)",1,712,true
3621010f-2fd7-410c-99cd-496849974175,"Visions","Michio Kaku","/audiobooks/Michio Kaku - Visions",11,941,true
3c0030af-94fb-4367-addf-11bc12259c76,"What They Don't Teach You at Harvard Business School","Mark H. McCormack","/audiobooks/What They Don't Teach You at Harvard Business School - 1",10,74,true
98eb4e4b-c6df-4cd2-bec9-8063b2e16a2c,"When the Body Says No - The Cost of Hidden Stress - Gabor Mate","Gabor Maté/Daniel Maté","/audiobooks/When the Body Says No - The Cost of Hidden Stress - Gabor Mate",22,797,true
e8a031b7-59f8-47a0-a4e1-0b2e24b67af7,"Сумерки богов","Камю Альбер, Фромм Эрих, Ницше Фридрих, Сартр Жан-Поль - Сумерки богов, Фрейд Зигмунд","/audiobooks/Nicshe Fridrich - Sumerki bogov/01.Фридрих Ницше - Антихристианин",57,283,false
c611b244-c7c9-464a-b0c3-e1bd64216b4e,"Улисс","Джойс Джеймс","/audiobooks/Джойс Джеймс – Улисс (Лебедева Валерия)",152,3398,true
